8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6
7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4
6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.53333333333333,6
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6
7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,6
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6
6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,5
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8.0,3
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6
5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7
7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7
7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
5.9,0.22,0.3,1.3,0.052,42,86,0.99069,3.31,0.47,11.55,6
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6
6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,7
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,6
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6
7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8
6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7
5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3
6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5
6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,5
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6
5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
